,season,scheduled_date,tournament_type,tournament_round,tournament_game_no,attendance,lead_changes,times_tied,periods,venue_city,venue_state,venue_address,venue_zip,venue_country,venue_name,venue_capacity,name,market,alias,conf_name,conf_alias,points,seed,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls
24,2017,3/16/18,South Regional,First Round,Game 2,17943,0,0,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Bluejays,Creighton,CREI,Big East,BIGEAST,59,0,23,68,33.8,9,34,26.5,14,34,41.2,5,4,5,80,14,27,41,12,13,6,3,0.92,21,0,0,8,13,0,9,4,0,0,0,0
25,2017,3/16/18,West Regional,First Round,Game 7,18489,7,7,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Aggies,Texas A&M,TXAM,Southeastern,SEC,73,0,26,52,50,6,16,37.5,20,36,55.6,1,15,26,57.7,9,31,40,13,13,2,8,1,13,0,0,8,7,1,10,4,0,0,0,0
26,2017,3/16/18,West Regional,First Round,Game 8,18489,8,3,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Tar Heels,North Carolina,UNC,Atlantic Coast,ACC,84,10,31,60,51.7,9,22,40.9,22,38,57.9,2,13,18,72.2,10,36,46,19,18,8,2,1.06,17,0,0,0,10,0,15,1,0,0,0,0
27,2017,3/16/18,Midwest Regional,First Round,Game 6,20314,2,0,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Spartans,Michigan State,MSU,Big Ten,BIG10,82,5,31,58,53.4,5,17,29.4,26,41,63.4,1,15,22,68.2,10,26,36,21,9,4,6,2.33,22,0,0,0,6,1,8,4,0,1,0,0
28,2017,3/17/18,Midwest Regional,First Round,Game 5,20314,10,2,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Horned Frogs,TCU,TCU,Big 12,BIG12,52,0,19,48,39.6,3,17,17.6,16,31,51.6,5,11,17,64.7,6,23,29,14,13,3,4,1.08,16,0,0,6,11,0,5,5,0,0,0,0
29,2017,3/16/18,East Regional,First Round,Game 7,20163,2,1,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Razorbacks,Arkansas,ARK,Southeastern,SEC,62,0,20,56,35.7,4,18,22.2,16,38,42.1,0,18,23,78.3,4,19,23,9,7,6,6,1.29,14,0,0,9,7,0,9,2,0,0,0,0
30,2017,3/16/18,East Regional,First Round,Game 8,20163,2,0,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Boilermakers,Purdue,PUR,Big Ten,BIG10,74,11,23,59,39,9,22,40.9,14,37,37.8,4,19,27,70.4,9,32,41,10,9,5,4,1.11,18,0,0,4,10,0,19,3,0,0,0,0
31,2017,3/17/18,Midwest Regional,First Round,Game 3,10092,3,2,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Tigers,Clemson,CLEM,Atlantic Coast,ACC,79,20,33,59,55.9,6,14,42.9,27,45,60,1,7,9,77.8,3,25,28,11,8,6,4,1.38,18,0,0,19,7,0,18,3,0,0,0,0
32,2017,3/16/18,Midwest Regional,First Round,Game 4,10092,7,5,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Tigers,Auburn,AUB,Southeastern,SEC,62,19,21,59,35.6,5,24,20.8,16,35,45.7,0,15,32,46.9,10,23,33,10,11,10,4,0.91,18,0,1,8,10,1,21,3,0,0,0,0
33,2017,3/16/18,East Regional,First Round,Game 4,10892,14,6,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Shockers,Wichita State,WICH,American Athletic,AAC,75,16,27,65,41.5,8,29,27.6,19,36,52.8,4,13,17,76.5,15,26,41,17,15,4,1,1.13,18,0,0,2,11,0,7,3,0,0,0,0
34,2017,3/16/18,East Regional,First Round,Game 3,10892,2,1,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Mountaineers,West Virginia,WVU,Big 12,BIG12,85,15,32,62,51.6,4,11,36.4,28,51,54.9,6,17,24,70.8,11,19,30,18,7,9,4,2.57,23,0,0,10,16,1,18,3,0,0,0,0
35,2017,3/16/18,South Regional,First Round,Game 7,17552,2,4,3,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Wolf Pack,Nevada,NEV,Mountain West,MWC,87,24,32,63,50.8,11,29,37.9,21,34,61.8,4,12,20,60,5,26,31,18,7,2,6,2.57,17,0,1,4,11,0,2,3,0,0,0,0
36,2017,3/18/18,West Regional,Second Round,Game 4,18485,6,0,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Tar Heels,North Carolina,UNC,Atlantic Coast,ACC,65,10,26,78,33.3,6,31,19.4,20,47,42.6,8,7,7,100,9,27,36,17,6,7,0,2.83,20,0,0,8,6,0,7,0,1,0,0,0
37,2017,3/18/18,South Regional,Second Round,Game 1,18485,1,1,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Wildcats,Kansas State,KSU,Big 12,BIG12,50,0,18,44,40.9,1,12,8.3,17,32,53.1,2,13,18,72.2,5,27,32,4,18,13,2,0.22,17,0,0,6,7,0,16,3,0,0,0,0
38,2017,3/19/18,East Regional,Second Round,Game 2,11628,2,0,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Mountaineers,West Virginia,WVU,Big 12,BIG12,94,15,33,66,50,12,25,48,21,41,51.2,3,16,18,88.9,13,25,38,19,16,9,4,1.19,22,0,0,9,14,0,26,2,0,1,0,0
39,2017,3/18/18,Midwest Regional,Second Round,Game 2,11628,3,3,2,San Diego,CA,5500 Canyon Crest Drive,92182,USA,Viejas Arena at Aztec Bowl,12414,Tigers,Auburn,AUB,Southeastern,SEC,53,19,17,66,25.8,7,32,21.9,10,34,29.4,6,12,15,80,5,22,27,9,6,4,3,1.5,19,0,1,2,8,0,2,5,0,0,0,0
40,2017,3/18/18,East Regional,Second Round,Game 4,20360,7,5,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Boilermakers,Purdue,PUR,Big Ten,BIG10,76,11,26,52,50,11,24,45.8,15,28,53.6,3,13,18,72.2,7,17,24,12,8,3,3,1.5,15,0,0,0,13,2,12,6,0,0,0,0
41,2017,3/18/18,Midwest Regional,Second Round,Game 3,20360,5,2,2,Detroit,MI,2645 Woodward Avenue,48201,USA,Little Caesars Arena,21000,Spartans,Michigan State,MSU,Big Ten,BIG10,53,5,17,66,25.8,8,37,21.6,9,29,31,7,11,16,68.8,26,18,44,11,14,4,2,0.79,22,0,1,2,21,0,10,7,0,0,0,0
42,2017,3/19/18,West Regional,Second Round,Game 1,17552,10,3,2,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Musketeers,Xavier,XAV,Big East,BIGEAST,70,3,23,49,46.9,5,13,38.5,18,36,50,4,19,30,63.3,10,20,30,11,18,6,2,0.61,22,0,1,13,17,0,14,3,0,0,0,0
43,2017,3/18/18,South Regional,Second Round,Game 4,17552,1,1,2,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Bearcats,Cincinnati,CIN,American Athletic,AAC,73,6,27,66,40.9,5,17,29.4,22,49,44.9,0,14,17,82.4,15,29,44,13,7,1,3,1.86,16,0,1,4,20,0,3,0,0,0,0,0
44,2017,3/17/18,East Regional,Second Round,Game 1,19015,2,4,2,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Wildcats,Villanova,VILL,Big East,BIGEAST,81,2,25,63,39.7,17,41,41.5,8,22,36.4,3,14,16,87.5,12,21,33,18,8,6,5,2.25,21,0,0,9,7,2,15,2,0,0,0,0
45,2017,3/17/18,Midwest Regional,Second Round,Game 4,19015,3,1,2,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Blue Devils,Duke,DUKE,Atlantic Coast,ACC,87,9,29,51,56.9,10,21,47.6,19,30,63.3,2,19,24,79.2,9,27,36,20,13,5,1,1.54,15,0,0,6,15,1,15,0,0,0,0,0
46,2017,3/18/18,West Regional,Second Round,Game 3,14385,17,12,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Wolverines,Michigan,MICH,Big Ten,BIG10,64,7,21,59,35.6,8,30,26.7,13,29,44.8,2,14,20,70,7,26,33,13,7,4,5,1.86,22,0,2,4,6,0,15,5,0,0,0,0
47,2017,3/17/18,Midwest Regional,Second Round,Game 1,14385,4,1,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Jayhawks,Kansas,KU,Big 12,BIG12,83,4,28,56,50,9,21,42.9,19,35,54.3,3,18,26,69.2,6,19,25,18,11,7,3,1.64,16,0,0,9,5,0,20,7,0,0,0,0
48,2017,3/17/18,South Regional,Second Round,Game 3,18642,3,1,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Volunteers,Tennessee,TENN,Southeastern,SEC,62,13,25,55,45.5,9,25,36,16,30,53.3,1,3,6,50,6,17,23,15,6,8,2,2.5,17,0,0,6,5,1,20,1,0,0,0,0
49,2017,3/18/18,East Regional,Second Round,Game 3,18642,12,8,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Red Raiders,Texas Tech,TTU,Big 12,BIG12,69,14,28,63,44.4,6,15,40,22,48,45.8,9,7,14,50,9,23,32,17,8,4,5,2.13,14,0,0,4,16,0,11,7,0,0,0,0
50,2017,3/17/18,South Regional,Second Round,Game 2,11686,1,2,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Wildcats,Kentucky,UK,Southeastern,SEC,95,18,36,64,56.3,7,15,46.7,29,49,59.2,1,16,23,69.6,12,27,39,16,13,6,4,1.23,20,0,0,11,12,0,11,3,0,0,0,0
51,2017,3/17/18,West Regional,Second Round,Game 2,11686,2,3,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Bulldogs,Gonzaga,GONZ,West Coast,WCC,90,8,31,58,53.4,9,22,40.9,22,36,61.1,2,19,31,61.3,12,24,36,15,13,5,4,1.15,22,0,1,9,17,0,19,3,0,1,0,0
52,2017,3/23/18,South Regional,Sweet 16,Game 1,15616,6,4,2,Atlanta,GA,One Philips Drive,30303,USA,Philips Arena,19049,Wildcats,Kentucky,UK,Southeastern,SEC,58,18,16,42,38.1,3,12,25,13,30,43.3,2,23,37,62.2,11,27,38,6,15,5,3,0.4,21,0,0,2,15,0,7,0,0,0,0,1
53,2017,3/22/18,South Regional,Sweet 16,Game 2,15616,1,4,2,Atlanta,GA,One Philips Drive,30303,USA,Philips Arena,19049,Wolf Pack,Nevada,NEV,Mountain West,MWC,68,24,24,58,41.4,7,27,25.9,17,31,54.8,1,13,14,92.9,7,17,24,8,10,10,5,0.8,13,0,0,19,5,0,12,0,0,0,0,0
54,2017,3/22/18,West Regional,Sweet 16,Game 2,19181,0,0,2,Los Angeles,CA,1111 S. Figueroa St.,90015,USA,Staples Center,19060,Wolverines,Michigan,MICH,Big Ten,BIG10,99,7,39,63,61.9,14,24,58.3,25,39,64.1,4,7,8,87.5,2,24,26,21,6,12,0,3.5,15,0,0,23,8,1,20,2,0,0,0,0
55,2017,3/23/18,West Regional,Sweet 16,Game 1,19181,9,8,2,Los Angeles,CA,1111 S. Figueroa St.,90015,USA,Staples Center,19060,Bulldogs,Gonzaga,GONZ,West Coast,WCC,60,8,20,59,33.9,5,20,25,15,39,38.5,9,15,24,62.5,10,26,36,7,12,5,2,0.58,16,0,0,9,11,1,10,6,1,0,0,0
56,2017,3/23/18,East Regional,Sweet 16,Game 1,19059,6,8,2,Boston,MA,100 Legends Way,2114,USA,TD Garden,18624,Wildcats,Villanova,VILL,Big East,BIGEAST,90,2,27,54,50,13,24,54.2,14,30,46.7,5,23,27,85.2,5,27,32,16,15,5,5,1.07,20,0,0,4,10,1,10,4,0,1,0,0
57,2017,3/24/18,East Regional,Sweet 16,Game 2,19059,1,1,2,Boston,MA,100 Legends Way,2114,USA,TD Garden,18624,Boilermakers,Purdue,PUR,Big Ten,BIG10,65,11,26,58,44.8,7,18,38.9,19,40,47.5,5,6,6,100,8,20,28,8,17,5,2,0.47,19,0,0,0,11,0,2,2,0,0,0,0
58,2017,3/24/18,Midwest Regional,Sweet 16,Game 2,17399,8,5,2,Omaha,NE,455 North 10th Street,68102,USA,CenturyLink Center,18320,Blue Devils,Duke,DUKE,Atlantic Coast,ACC,69,9,22,56,39.3,5,26,19.2,17,30,56.7,1,20,28,71.4,14,16,30,13,7,8,2,1.86,16,0,0,2,17,0,18,3,0,0,0,0
59,2017,3/23/18,Midwest Regional,Sweet 16,Game 1,17399,0,1,2,Omaha,NE,455 North 10th Street,68102,USA,CenturyLink Center,18320,Jayhawks,Kansas,KU,Big 12,BIG12,80,4,28,60,46.7,10,22,45.5,18,38,47.4,4,14,22,63.6,12,25,37,14,13,4,5,1.08,22,0,1,5,11,0,12,1,0,0,0,0
60,2017,3/24/18,South Regional,Elite Eight,Game 1,15477,4,0,2,Atlanta,GA,One Philips Drive,30303,USA,Philips Arena,19049,Wildcats,Kansas State,KSU,Big 12,BIG12,62,0,23,66,34.8,6,26,23.1,17,40,42.5,2,10,12,83.3,10,17,27,9,6,7,2,1.5,19,0,0,4,10,0,28,1,0,0,0,0
61,2017,3/25/18,West Regional,Elite Eight,Game 1,19665,7,6,2,Los Angeles,CA,1111 S. Figueroa St.,90015,USA,Staples Center,19060,Wolverines,Michigan,MICH,Big Ten,BIG10,58,7,19,49,38.8,4,22,18.2,15,27,55.6,7,16,24,66.7,7,23,30,8,11,6,4,0.73,16,0,0,12,10,0,12,4,1,0,0,0
62,2017,3/25/18,Midwest Regional,Elite Eight,Game 1,17579,18,11,3,Omaha,NE,455 North 10th Street,68102,USA,CenturyLink Center,18320,Jayhawks,Kansas,KU,Big 12,BIG12,85,4,30,69,43.5,13,36,36.1,17,33,51.5,3,12,15,80,16,30,46,20,17,5,3,1.18,14,0,1,0,15,1,13,1,0,0,0,0
63,2017,3/25/18,East Regional,Elite Eight,Game 1,19169,1,1,2,Boston,MA,100 Legends Way,2114,USA,TD Garden,18624,Wildcats,Villanova,VILL,Big East,BIGEAST,71,2,19,57,33.3,4,24,16.7,15,33,45.5,1,29,35,82.9,19,31,50,7,10,6,4,0.7,17,0,0,4,8,2,4,1,0,0,0,0
64,2017,4/1/18,Final Four,Semifinals,Game 2,68257,1,0,2,San Antonio,TX,100 Montana Street,78203,USA,Alamodome,39500,Wildcats,Villanova,VILL,Big East,BIGEAST,95,2,36,65,55.4,18,40,45,18,25,72,1,5,7,71.4,7,26,33,20,9,3,5,2.22,14,0,0,8,12,1,14,0,0,0,0,0
65,2017,3/31/18,Final Four,Semifinals,Game 1,68257,4,2,2,San Antonio,TX,100 Montana Street,78203,USA,Alamodome,39500,Wolverines,Michigan,MICH,Big Ten,BIG10,69,7,25,59,42.4,7,28,25,18,31,58.1,1,12,18,66.7,10,25,35,8,11,10,2,0.73,11,0,0,4,19,0,22,1,0,0,0,0
66,2017,4/3/18,National Championship,,,67831,2,3,2,San Antonio,TX,100 Montana Street,78203,USA,Alamodome,39500,Wildcats,Villanova,VILL,Big East,BIGEAST,79,2,27,57,47.4,10,27,37,17,30,56.7,1,15,20,75,12,26,38,7,12,5,3,0.58,18,0,0,6,10,1,5,0,0,1,0,0
67,2017,3/14/18,First Four,Game 2,,12336,7,9,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Bonnies,St. Bonaventure,SBON,Atlantic 10,A10,65,0,23,60,38.3,4,19,21.1,19,41,46.3,6,15,21,71.4,7,23,30,7,6,11,0,1.17,14,0,0,10,6,0,30,1,0,0,0,0
68,2017,3/14/18,First Four,Game 3,,12732,1,2,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Tigers,Texas Southern,TXSO,Southwestern Athletic,SWAC,64,0,21,57,36.8,6,24,25,15,33,45.5,2,16,19,84.2,11,27,38,9,14,7,8,0.64,12,0,0,4,12,0,18,3,0,0,1,0
69,2017,3/15/18,First Four,Game 4,,12732,8,5,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Orange,Syracuse,SYR,Atlantic Coast,ACC,60,0,20,49,40.8,7,20,35,13,29,44.8,3,13,23,56.5,9,24,33,10,10,5,2,1,16,0,0,6,9,1,15,4,0,0,0,0
70,2017,3/13/18,First Four,Game 1,,12336,4,1,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Blackbirds,LIU Brooklyn,LIU,Northeast,NE,61,0,19,50,38,7,26,26.9,12,24,50,2,16,23,69.6,4,26,30,13,15,3,0,0.87,19,0,1,6,2,0,16,2,0,0,0,0
71,2017,3/15/18,West Regional,First Round,Game 4,11662,3,8,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Spartans,UNC Greensboro,UNCG,Southern,SOUTHERN,64,0,28,67,41.8,3,22,13.6,25,45,55.6,2,5,10,50,13,26,39,7,13,4,1,0.54,22,0,1,0,2,0,10,2,0,0,0,0
72,2017,3/15/18,South Regional,First Round,Game 5,15802,3,7,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Ramblers,Loyola (IL),L-IL,Missouri Valley,MVC,64,0,26,55,47.3,8,21,38.1,18,34,52.9,7,4,9,44.4,5,19,24,19,10,6,3,1.9,14,0,0,11,3,0,15,3,0,0,0,0
73,2017,3/15/18,South Regional,First Round,Game 6,15802,3,0,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Raiders,Wright State,WRST,Horizon,HORIZON,47,0,19,60,31.7,4,21,19,15,39,38.5,6,5,9,55.6,8,21,29,9,12,5,2,0.75,17,0,0,7,11,1,7,3,0,0,0,0
